City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Zhigansk,RU,66.7697,123.3711,-16.74,93,100,17.36,overcast clouds
253,Saurimo,AO,-9.6608,20.3916,69.91,82,19,1.68,few clouds
254,Gunnedah,AU,-30.9833,150.25,66.0,92,100,4.0,light rain
255,Luganville,VU,-15.5333,167.1667,77.47,83,100,1.83,overcast clouds
256,Sao Francisco Do Sul,BR,-26.2433,-48.6381,87.01,74,40,5.75,light rain
257,Southbridge,US,42.0751,-72.0334,64.99,18,17,1.03,few clouds
258,Broken Hill,AU,-31.95,141.4333,68.0,77,90,4.61,overcast clouds
259,Vangaindrano,MG,-23.35,47.6,75.27,91,22,4.36,light rain
260,Ridgecrest,US,35.6225,-117.6709,61.0,14,1,9.22,clear sky
261,Smithers,CA,54.7804,-127.1743,35.6,69,90,9.22,light snow
262,Dingle,PH,10.9995,122.6711,78.31,86,84,7.81,broken clouds
263,Horsham,GB,51.064,-0.3272,51.01,61,40,9.22,scattered clouds
264,Egvekinot,RU,66.3167,-179.1667,-7.26,97,100,7.4,light snow
265,Ust-Koksa,RU,50.2696,85.6108,29.28,81,100,3.27,overcast clouds
266,Bathsheba,BB,13.2167,-59.5167,84.2,54,20,20.71,few clouds
267,Mbandaka,CD,0.0487,18.2603,70.72,93,100,2.77,overcast clouds
268,Muros,ES,42.7762,-9.0603,59.0,59,0,13.0,clear sky
269,Cabatuan,PH,10.8794,122.486,77.9,85,85,8.25,overcast clouds
270,Acapulco,MX,16.8634,-99.8901,86.0,66,20,5.75,few clouds
271,Yarada,IN,17.65,83.2667,80.6,83,75,2.3,mist
272,Saint Pete Beach,US,27.7253,-82.7412,63.0,72,90,10.36,overcast clouds
273,Catamarca,AR,-28.4696,-65.7852,78.01,66,37,1.99,scattered clouds
274,Jutai,BR,-5.1833,-68.9,93.13,43,85,3.71,overcast clouds
275,Oktyabrskiy,RU,54.4815,53.471,19.4,93,96,5.48,overcast clouds
276,Kiunga,PG,-6.1219,141.2906,74.07,98,94,1.81,overcast clouds
277,Mbaiki,CF,3.8678,17.9892,72.97,83,99,3.56,overcast clouds
278,Agadir,MA,30.4202,-9.5982,71.6,24,0,14.97,clear sky
279,Najran,SA,17.4924,44.1277,77.0,22,0,9.22,clear sky
280,Tabou,CI,4.423,-7.3528,81.07,84,39,10.56,scattered clouds
281,Kutum,SD,14.2,24.6667,78.91,13,43,8.37,scattered clouds
282,Erzin,TR,36.9559,36.2,64.0,72,0,3.44,clear sky
283,Iisalmi,FI,63.5592,27.1907,28.4,86,90,20.71,light snow
284,Palmdale,US,34.5794,-118.1165,55.0,32,1,9.22,clear sky
285,Aswan,EG,24.0934,32.907,89.83,11,0,11.36,clear sky
286,Dedza,MW,-14.3779,34.3332,60.82,97,82,3.09,moderate rain
287,Eregli,TR,37.5133,34.0467,55.78,38,0,9.44,clear sky
288,Cidreira,BR,-30.1811,-50.2056,77.05,87,100,8.79,light rain
289,Batagay,RU,67.6333,134.6333,0.59,84,98,3.58,overcast clouds
290,Rio Grande,BR,-32.035,-52.0986,73.4,94,75,6.91,broken clouds
291,Baiao,BR,-2.7906,-49.6717,81.88,90,95,1.61,overcast clouds
292,Ancud,CL,-41.8697,-73.8203,66.2,48,0,8.05,clear sky
293,Kadaya,RU,50.9327,119.2911,17.19,85,52,3.76,broken clouds
294,Dobroye,RU,52.8678,39.8109,22.57,90,59,8.66,broken clouds
295,Sokolo,ML,14.7328,-6.1219,98.85,20,74,4.45,broken clouds
296,Archidona,ES,37.0965,-4.3887,59.0,86,7,4.54,clear sky
297,Northam,GB,51.0333,-4.2167,51.01,82,88,1.99,overcast clouds
298,Nizwa,OM,22.9333,57.5333,70.2,18,0,5.59,clear sky
299,Fare,PF,-16.7,-151.0167,83.01,72,60,11.23,broken clouds
300,Tyret Pervaya,RU,53.6703,102.3106,28.47,87,100,0.51,overcast clouds
301,Moron,AR,-34.6534,-58.6198,79.0,54,0,1.99,light rain
302,Sioux Lookout,CA,50.1001,-91.917,53.6,43,90,12.66,overcast clouds
303,Inuvik,CA,68.3499,-133.7218,-9.4,77,16,4.61,few clouds
304,Oskemen,KZ,49.9565,82.6119,33.8,86,90,4.47,overcast clouds
305,Yulara,AU,-25.2406,130.9889,64.4,100,90,8.05,overcast clouds
306,Gushi,CN,34.6425,109.5843,42.46,26,37,2.55,scattered clouds
307,Coihaique,CL,-45.5752,-72.0662,68.0,45,0,3.44,clear sky
308,Zyryanka,RU,65.75,150.85,-8.66,82,78,6.13,broken clouds
309,Talnakh,RU,69.4865,88.3972,-14.39,58,66,6.29,broken clouds
310,Khani,GE,41.9563,42.9566,44.6,93,90,2.3,overcast clouds
311,Ismailia,EG,30.6043,32.2723,85.71,23,98,14.43,overcast clouds
312,Yokadouma,CM,3.5167,15.05,72.16,91,100,2.04,light rain
313,Catuday,PH,16.2923,119.8062,80.28,77,63,8.7,broken clouds
