City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Sabha,LY,2021-03-19 21:57:03,27.0377,14.4283,68.97,23,0,9.66
231,Zhanaozen,KZ,2021-03-19 22:03:26,43.3,52.8,38.46,86,0,8.43
232,Acarau,BR,2021-03-19 22:01:04,-2.8856,-40.12,78.71,77,14,11.77
233,Bykovo,RU,2021-03-19 22:03:27,55.6361,38.0803,28.4,86,75,8.95
234,Waddan,LY,2021-03-19 21:57:54,29.1614,16.139,68.83,24,0,6.91
235,Teguise,ES,2021-03-19 21:58:24,29.0605,-13.564,64.4,59,40,11.5
236,Dubbo,AU,2021-03-19 22:03:27,-32.25,148.6167,66.2,82,90,11.5
237,Torbay,CA,2021-03-19 21:57:00,47.6666,-52.7314,42.01,93,90,37.98
238,Hwange,ZW,2021-03-19 22:03:27,-18.3693,26.5019,69.01,85,0,1.9
239,Moletai,LT,2021-03-19 22:03:28,55.2333,25.4167,27.0,86,90,10.36
240,Orikhiv,UA,2021-03-19 22:03:28,47.5673,35.7858,35.6,75,0,2.24
241,Mubi,NG,2021-03-19 22:03:28,10.2676,13.2644,85.39,37,46,5.97
242,Upanema,BR,2021-03-19 22:03:28,-5.6419,-37.2578,84.2,70,75,10.36
243,Sobreira,PT,2021-03-19 22:03:28,41.5237,-7.8023,50.0,72,3,1.99
244,Markova,UA,2021-03-19 22:03:29,48.6758,24.4138,24.39,88,100,2.89
245,Udimskiy,RU,2021-03-19 22:03:29,61.1417,45.9144,11.39,97,94,5.55
246,Ancud,CL,2021-03-19 21:55:00,-41.8697,-73.8203,57.0,76,90,6.91
247,Khandyga,RU,2021-03-19 22:03:29,62.6667,135.6,4.91,95,100,6.46
248,Araripe,BR,2021-03-19 22:03:29,-7.2125,-40.0461,68.88,89,59,2.28
249,Eureka,US,2021-03-19 22:03:30,40.8021,-124.1637,53.01,81,96,3.0
250,Nisia Floresta,BR,2021-03-19 22:03:30,-6.0911,-35.2086,82.4,83,40,5.75
